Event,Latitude,Longitude,Depth [m],Symbiosis,Spine,Absolute Abundance
GeoB1008-3,-6.5823,10.3186,2.18,symbiont-barren,non-spinose,92
GeoB1008-3,-6.5823,10.3186,2.18,symbiont-barren,spinose,275
GeoB1008-3,-6.5823,10.3186,2.18,symbiont-bearing,non-spinose,0
GeoB1008-3,-6.5823,10.3186,2.18,symbiont-bearing,spinose,0
GeoB1008-3,-6.5823,10.3186,2.18,symbiont-facultative,non-spinose,179
GeoB1008-3,-6.5823,10.3186,2.18,symbiont-facultative,spinose,0
GeoB1008-3,-6.5823,10.3186,2.18,symbiont-obligate,spinose,116
GeoB1008-3,-6.5823,10.3186,2.18,undetermined,non-spinose,0
GeoB1008-3,-6.5823,10.3186,2.23,symbiont-barren,non-spinose,87
GeoB1008-3,-6.5823,10.3186,2.23,symbiont-barren,spinose,96
GeoB1008-3,-6.5823,10.3186,2.23,symbiont-bearing,non-spinose,0
GeoB1008-3,-6.5823,10.3186,2.23,symbiont-bearing,spinose,0
GeoB1008-3,-6.5823,10.3186,2.23,symbiont-facultative,non-spinose,207
GeoB1008-3,-6.5823,10.3186,2.23,symbiont-facultative,spinose,0
GeoB1008-3,-6.5823,10.3186,2.23,symbiont-obligate,spinose,76
GeoB1008-3,-6.5823,10.3186,2.23,undetermined,non-spinose,3
GeoB1008-3,-6.5823,10.3186,2.28,symbiont-barren,non-spinose,61
GeoB1008-3,-6.5823,10.3186,2.28,symbiont-barren,spinose,183
GeoB1008-3,-6.5823,10.3186,2.28,symbiont-bearing,non-spinose,0
GeoB1008-3,-6.5823,10.3186,2.28,symbiont-bearing,spinose,3
GeoB1008-3,-6.5823,10.3186,2.28,symbiont-facultative,non-spinose,182
GeoB1008-3,-6.5823,10.3186,2.28,symbiont-facultative,spinose,0
GeoB1008-3,-6.5823,10.3186,2.28,symbiont-obligate,spinose,67
GeoB1008-3,-6.5823,10.3186,2.28,undetermined,non-spinose,0
GeoB1008-3,-6.5823,10.3186,2.33,symbiont-barren,non-spinose,111
GeoB1008-3,-6.5823,10.3186,2.33,symbiont-barren,spinose,95
GeoB1008-3,-6.5823,10.3186,2.33,symbiont-bearing,non-spinose,0
GeoB1008-3,-6.5823,10.3186,2.33,symbiont-bearing,spinose,0
GeoB1008-3,-6.5823,10.3186,2.33,symbiont-facultative,non-spinose,181
GeoB1008-3,-6.5823,10.3186,2.33,symbiont-facultative,spinose,0
GeoB1008-3,-6.5823,10.3186,2.33,symbiont-obligate,spinose,79
GeoB1008-3,-6.5823,10.3186,2.33,undetermined,non-spinose,4
GeoB1008-3,-6.5823,10.3186,2.38,symbiont-barren,non-spinose,73
GeoB1008-3,-6.5823,10.3186,2.38,symbiont-barren,spinose,66
